,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,,,,-additional
Rk,Player,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
1,Bert Auburn,14,,,,,,,,,56,29,,,143,bert-auburn-1
2,Adonai Mitchell,14,,11,,,,,,11,,,,,66,adonai-mitchell-1
3,Jonathon Brooks,11,10,1,,,,,,11,,,,,66,jonathon-brooks-1
4,Xavier Worthy,14,,5,,,1,,,6,,,,,36,xavier-worthy-1
5,CJ Baxter,13,5,,,,,,,5,,,,,30,cj-baxter-1
6,Quinn Ewers,12,5,,,,,,,5,,,,,30,quinn-ewers-1
7,Jaydon Blue,14,3,1,,,,,,4,,,,,24,jaydon-blue-1
8,Keilan Robinson,13,3,,,,,1,,4,,,,,24,keilan-robinson-1
9,Byron Murphy II,14,1,1,,,,,,2,,,,,12,byron-murphy-ii-1
10,Gunnar Helm,14,,2,,,,,,2,,,,,12,gunnar-helm-1
11,Ja'Tavion Sanders,14,,2,,,,,,2,,,,,12,jatavion-sanders-1
12,Jordan Whittington,14,,1,,,,,,1,,,1,,8,jordan-whittington-2
13,Jett Bush,14,,,1,,,,,1,,,,,6,jett-bush-1
14,T'vondre Sweat,14,,1,,,,,,1,,,,,6,tvondre-sweat-1
15,Tre Wisner,14,1,,,,,,,1,,,,,6,tre-wisner-1
16,Savion Red,12,1,,,,,,,1,,,,,6,savion-red-1
17,Malik Muhammad,14,,,,,1,,,1,,,,,6,malik-muhammad-1
18,Jerrin Thompson,14,,,1,,,,,1,,,,,6,jerrin-thompson-1
19,Austin Jordan,12,,,,,,,,,,,1,,2,austin-jordan-1
